run_name,rtc_seconds,rtc_minutes,gnss_time,gnss_dt_s,lat_deg,lon_deg,alt_m,hacc_m,vacc_m,num_sv,carr_soln,carr_label
20221019_1217_R90121_Modena_SN1,58.236437,0.24621458333333332,2022-10-19T09:53:45.999930,1.0,44.6550656,10.9295459,25.921,1.061,1.426,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,59.229875,0.2627718833333333,2022-10-19T09:53:46.999930,1.0,44.6550668,10.9295435,25.47,0.758,1.198,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,60.228125,0.27940938333333326,2022-10-19T09:53:47.999930,1.0,44.6550672,10.9295408,24.585,0.627,1.061,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,61.22525,0.29602813333333333,2022-10-19T09:53:48.999930,1.0,44.6550643,10.9295412,22.907,0.562,0.943,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,62.218937,0.31258958333333325,2022-10-19T09:53:49.999930,1.0,44.6550612,10.9295407,21.159,0.518,0.892,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,63.2235,0.32933229999999997,2022-10-19T09:53:50.999930,1.0,44.6550589,10.9295396,19.278,0.485,0.85,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,64.210187,0.34577708333333335,2022-10-19T09:53:51.999930,1.0,44.6550524,10.9295397,16.384,0.495,0.876,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,65.204687,0.3623520833333334,2022-10-19T09:53:52.999930,1.0,44.6550474,10.9295425,13.17,0.501,0.847,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,66.201937,0.3789729166666666,2022-10-19T09:53:53.999930,1.0,44.6550446,10.9295432,10.496,0.463,0.772,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,67.198562,0.39558333333333323,2022-10-19T09:53:54.999930,1.0,44.6550419,10.9295444,8.013,0.433,0.719,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,68.197062,0.412225,2022-10-19T09:53:55.999930,1.0,44.655041,10.9295459,5.894,0.408,0.673,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,69.1945,0.4288489666666667,2022-10-19T09:53:56.999930,1.0,44.6550432,10.9295478,3.765,0.405,0.627,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,70.192625,0.4454843833333334,2022-10-19T09:53:57.999930,1.0,44.6550421,10.9295496,1.747,0.385,0.605,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,71.187937,0.4620729166666667,2022-10-19T09:53:58.999930,1.0,44.6550402,10.9295513,-0.298,0.37,0.587,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,72.184187,0.4786770833333332,2022-10-19T09:53:59.999930,1.0,44.6550387,10.9295525,-2.123,0.362,0.573,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,73.18225,0.49531146666666653,2022-10-19T09:54:00.999929,0.999999,44.6550364,10.9295539,-3.856,0.359,0.556,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,74.173625,0.5118343833333333,2022-10-19T09:54:01.999929,1.0,44.6550358,10.9295546,-5.352,0.345,0.534,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,75.173812,0.5285041666666666,2022-10-19T09:54:02.999929,1.0,44.6550357,10.9295544,-6.309,0.336,0.514,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,76.16925,0.5450948,2022-10-19T09:54:03.999929,1.0,44.6550345,10.929555,-7.465,0.322,0.493,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,77.164312,0.5616791666666665,2022-10-19T09:54:04.999929,1.0,44.6550341,10.9295563,-8.454,0.319,0.474,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,78.160625,0.5782843833333332,2022-10-19T09:54:05.999929,1.0,44.6550344,10.9295572,-9.15,0.315,0.461,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,79.154437,0.5948479166666666,2022-10-19T09:54:06.999929,1.0,44.6550346,10.9295595,-10.26,0.309,0.447,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,80.153875,0.6115052166666666,2022-10-19T09:54:07.999929,1.0,44.6550349,10.9295617,-11.31,0.297,0.432,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,81.149875,0.6281052166666665,2022-10-19T09:54:08.999929,1.0,44.6550351,10.9295636,-12.073,0.294,0.422,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,82.142937,0.64465625,2022-10-19T09:54:09.999929,1.0,44.6550332,10.929565,-12.978,0.287,0.412,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,83.139062,0.6612583333333332,2022-10-19T09:54:10.999929,1.0,44.6550319,10.9295666,-13.686,0.282,0.405,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,84.134187,0.6778437499999999,2022-10-19T09:54:11.999929,1.0,44.6550302,10.9295672,-14.063,0.278,0.398,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,85.133875,0.6945052166666666,2022-10-19T09:54:12.999929,1.0,44.6550294,10.9295675,-14.422,0.272,0.389,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,86.129437,0.7110979166666666,2022-10-19T09:54:13.999929,1.0,44.6550298,10.9295674,-14.594,0.264,0.376,20,1,RTK Float
20221019_1217_R90121_Modena_SN1,87.133062,0.7278249999999998,2022-10-19T09:54:14.999929,1.0,44.6550301,10.9295661,-14.606,0.256,0.362,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,88.126062,0.744375,2022-10-19T09:54:15.999929,1.0,44.6550314,10.9295653,-14.812,0.249,0.35,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,89.12025,0.7609448,2022-10-19T09:54:16.999929,1.0,44.6550318,10.929564,-14.816,0.244,0.341,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,90.117437,0.7775645833333332,2022-10-19T09:54:17.999929,1.0,44.6550323,10.9295618,-14.69,0.242,0.335,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,91.112812,0.7941541666666667,2022-10-19T09:54:18.999928,0.999999,44.6550326,10.9295592,-14.604,0.224,0.305,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,92.108,0.8107406333333333,2022-10-19T09:54:19.999928,1.0,44.6550326,10.9295565,-14.408,0.217,0.293,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,93.10225,0.8273114666666666,2022-10-19T09:54:20.999928,1.0,44.6550328,10.9295544,-14.115,0.213,0.285,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,94.103625,0.8440010499999998,2022-10-19T09:54:21.999928,1.0,44.6550331,10.9295539,-14.013,0.212,0.28,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,95.0985,0.8605823,2022-10-19T09:54:22.999928,1.0,44.6550341,10.9295537,-14.002,0.209,0.277,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,96.094687,0.8771854166666665,2022-10-19T09:54:23.999928,1.0,44.6550349,10.9295535,-14.006,0.202,0.268,22,1,RTK Float
20221019_1217_R90121_Modena_SN1,97.090625,0.8937843833333333,2022-10-19T09:54:24.999928,1.0,44.6550349,10.9295529,-14.062,0.196,0.26,22,1,RTK Float
