run_name,csv_path,row_count,duration_min,raw_I_count,raw_U_count,raw_ARR_count,raw_DEP_count,raw_BRK_count,nav_pvt_count,nav_cov_count,imu_median_dt_ms,imu_est_hz,imu_avg_hz,pvt_median_dt_s,pvt_est_hz,pvt_avg_hz,cov_median_dt_s,cov_est_hz,cov_avg_hz,rtk_point_count,rtk_fix_count,rtk_float_count,rtk_coverage,rtk_alt_min_m,rtk_alt_max_m,rtk_alt_span_m,rtk_alt_max_step_m,rtk_alt_p95_step_m,rtk_alt_jump_count_gt_2m,ubx_types
20221019_1217_R90121_Modena_SN1,D:\Code\dataset\Railway-Precise-Localization-data\data\20221019_1217_R90121_Modena_SN1\20221019_1217_R90121_Modena_SN1.csv,5055658,49.944738550000004,5052624,3007,7,7,13,3007,0,0.5629999999996471,1776.1989342817528,1686.0714951124714,1.0,1.0,1.0034423669371009,,,,2623,680,1943,0.8722979714000665,-22.032,28.008,50.04,14.802,0.31499999999999984,21,NAV-PVT:3007
20221019_1252_R90120_Formigine_SN1,D:\Code\dataset\Railway-Precise-Localization-data\data\20221019_1252_R90120_Formigine_SN1\20221019_1252_R90120_Formigine_SN1.csv,3169522,31.320414600000003,3167606,1889,8,8,11,1885,0,0.5630000000564905,1776.1989341024184,1685.5917780007078,1.0,1.0,1.0030731415243355,,,,1525,1,1524,0.8090185676392573,-32.509,71.15,103.659,6.337999999999997,0.4474499999999992,6,ACK-ACK:3;ACK-NAK:1;NAV-PVT:1885
20221019_1345_R90125_Modena_SN1,D:\Code\dataset\Railway-Precise-Localization-data\data\20221019_1345_R90125_Modena_SN1\20221019_1345_R90125_Modena_SN1.csv,4131951,40.81423125000001,4129462,2460,7,7,15,2457,0,0.5630000005112379,1776.198932667744,1686.283547645324,1.0,1.0,1.0033265051390619,,,,1923,716,1207,0.7826617826617827,-22.82,27.014,49.834,6.711,0.2227500000000011,23,ACK-ACK:2;ACK-NAK:1;NAV-PVT:2457
20221019_1422_R90124_Formigine_SN1,D:\Code\dataset\Railway-Precise-Localization-data\data\20221019_1422_R90124_Formigine_SN1\20221019_1422_R90124_Formigine_SN1.csv,2949510,29.152005200000016,2947723,1757,7,6,17,1754,0,0.5630000014207326,1776.1989297983948,1685.2602875724872,1.0,1.0,1.0027897955140772,,,,1423,112,1311,0.8112884834663626,-21.121,71.374,92.49499999999999,3.0890000000000004,0.4211000000000006,3,ACK-ACK:2;ACK-NAK:1;NAV-PVT:1754
20221020_1030_R90117_Modena_SN1,D:\Code\dataset\Railway-Precise-Localization-data\data\20221020_1030_R90117_Modena_SN1\20221020_1030_R90117_Modena_SN1.csv,3557511,35.13770208333333,3553260,4230,7,7,7,2115,2115,0.5630000000031998,1776.1989342705444,1685.397635267958,1.0,1.0,1.0031959379813837,,,1.0031959379813837,1543,611,932,0.7295508274231679,-18.187,32.764,50.95100000000001,11.583,0.18950000000000006,19,NAV-COV:2115;NAV-PVT:2115
20221020_1030_R90117_Modena_SN2,D:\Code\dataset\Railway-Precise-Localization-data\data\20221020_1030_R90117_Modena_SN2\20221020_1030_R90117_Modena_SN2.csv,3019464,29.64936145,3015871,3556,7,7,19,1776,1776,0.5629999999996471,1776.1989342817528,1695.298455294951,1.0,1.0,0.9983351597610882,,,0.9983351597610882,1223,1147,76,0.6886261261261262,-21.904,31.922,53.826,11.432,0.18499999999999872,9,ACK-ACK:3;ACK-NAK:1;NAV-COV:1776;NAV-PVT:1776
20221020_1122_R90116_Formigine_SN1,D:\Code\dataset\Railway-Precise-Localization-data\data\20221020_1122_R90116_Formigine_SN1\20221020_1122_R90116_Formigine_SN1.csv,4445906,43.87459375,4440591,5295,7,7,6,2643,2643,0.5630000000564905,1776.1989341024184,1686.8498070138826,1.0,1.0,1.0039979002654582,,,1.0039979002654582,2221,659,1562,0.8403329549754067,-21.068,78.353,99.42099999999999,4.567999999999998,0.22410000000000024,10,ACK-ACK:7;ACK-NAK:2;NAV-COV:2643;NAV-PVT:2643
20221020_1122_R90116_Formigine_SN2,D:\Code\dataset\Railway-Precise-Localization-data\data\20221020_1122_R90116_Formigine_SN2\20221020_1122_R90116_Formigine_SN2.csv,4637320,45.57611561666667,4631822,5464,7,7,20,2730,2730,0.5630000000564905,1776.1989341024184,1693.8045791928625,1.0,1.0,0.9983299231266907,,,0.9983299231266907,2213,2128,85,0.8106227106227106,-20.193,27.979,48.172,1.5690000000000026,0.11999999999999866,0,ACK-ACK:3;ACK-NAK:1;NAV-COV:2730;NAV-PVT:2730
20221020_1217_R90121_Modena_SN1,D:\Code\dataset\Railway-Precise-Localization-data\data\20221020_1217_R90121_Modena_SN1\20221020_1217_R90121_Modena_SN1.csv,3680109,36.31862708333333,3675704,4376,8,6,15,2188,2188,0.5629999999996471,1776.1989342817528,1686.7854941974508,1.0,1.0,1.0040761337975044,,,1.0040761337975044,1787,491,1296,0.81672760511883,-22.417,39.679,62.096000000000004,3.886,0.5489999999999997,2,NAV-COV:2188;NAV-PVT:2188
20221020_1217_R90121_Modena_SN2,D:\Code\dataset\Railway-Precise-Localization-data\data\20221020_1217_R90121_Modena_SN2\20221020_1217_R90121_Modena_SN2.csv,3657509,35.91897708333333,3653164,4308,7,7,23,2154,2154,0.5629999999996471,1776.1989342817528,1695.0946716942628,1.0,1.0,0.9994716697168378,,,0.9994716697168378,1767,1609,158,0.8203342618384402,-21.219,35.953,57.172000000000004,22.543,0.29699999999999993,23,NAV-COV:2154;NAV-PVT:2154
